Name,Latitude,Longitude
Hlegu Zay,17.096823,96.219456
Tin Zar Oo,17.098546,96.223276
Hlegu Tar Sone,17.099458,96.225736
Lay Daung Kan (Site Mway Tit),16.960345,96.294871
Yeik Thar,16.958359,96.293384
Thama,16.956527,96.291597
U Khway Pu,16.954721,96.289923
Moke Pho,16.951191,96.287005
Tha Pyay Chan,16.946347,96.282842
December Alal Pauk,16.94335,96.280096
A Aye Khan,16.939655,96.276834
Unit Three,16.93518,96.272929
See Pwar Yay Takke Tho,16.929063,96.267761
Kyo So Yay,16.924359,96.263776
Sal Myaung,16.922925,96.262463
Tayar-Lay-Sae,16.915075,96.255732
Kyaung Shae,16.911326,96.25229
Ah Kyaw Tae,16.907097,96.249969
Nyaung Pin,16.905454,96.248939
A Kauk Khun,16.90336,96.247823
Lai Sin Yone Alal Pauk,16.895251,96.24257
U Tun Myat,16.894629,96.242277
Say Yon Shae,16.891247,96.23963
Kyauk Lan,16.883578,96.234031
Tat Yin Thone,16.878599,96.230459
Lay Kyaung,16.874656,96.227508
Thin Tan Kyaung,16.871432,96.224717
Nat Sin,16.869256,96.222249
Taung Myauk Lan Sone,16.863198,96.21628
Tadar Phyu,16.857859,96.212375
Kar Gyi Gate,16.847427,96.208838
Sanpya Zay/ Nga Moe Yeik,16.841871,96.204405
Myittar Shwe Yi,16.838739,96.201072
Bawa Myint,16.837507,96.199817
Kalar Su,16.835063,96.197144
B.O.C,16.832963,96.195097
Paya Lan,16.831222,96.193281
Zawana,16.828111,96.188176
Thayet Taw,16.832619,96.187951
Aung Yadanar,16.835304,96.186638
(Sae-Lay/ Sae-Ngar) Lan Sone,16.83685,96.185887
Kyaikkasan Paya,16.838123,96.189955
Gate Haung,16.83915,96.193324
Ar Nandar Paya,16.840423,96.194977
Bawa Myint,16.841656,96.196414
Daywadaha,16.843956,96.198989
Lai Sin Yone,16.845763,96.200813
Sanpya Zay/ Nga Moe Yeik,16.843309,96.203744
Kar Gyi Gate,16.847468,96.209482
Tadar Phyu,16.857366,96.212289
Taung Myauk Lan Sone,16.862952,96.216452
Nat Sin,16.868886,96.222571
Thin Tan Kyaung,16.871166,96.225125
Lay Kyaung,16.874543,96.227658
Tat Yin Thone,16.878229,96.230341
Kyauk Lan,16.883455,96.234203
Say Yon Shae,16.891062,96.239909
U Tun Myat,16.894506,96.242288
Lai Sin Yone Alal Pauk,16.895045,96.242849
A Kauk Khun,16.903114,96.248038
Nyaung Pin,16.905372,96.249197
Ah Kyaw Tae,16.906974,96.250269
Kyaung Shae,16.911141,96.252676
Tayar-Lay-Sae,16.915026,96.25581
Sal Myaung,16.922802,96.262699
Kyo So Yay,16.924398,96.263931
See Pwar Yay Takke Tho,16.929001,96.267868
Unit Three,16.934893,96.273358
A Aye Khan,16.939285,96.277092
December Alal Pauk,16.943185,96.280439
Tha Pyay Chan,16.946264,96.283357
Moke Pho,16.950985,96.287177
U Khway Pu,16.954393,96.290224
Thama,16.956322,96.291811
Yeik Thar,16.958333,96.293432
Lay Daung Kan (Site Mway Tit),16.959642,96.295294
Hlegu Tar Sone,17.09956,96.225669
Tin Zar Oo,17.098546,96.223061
Hlegu Zay,17.097151,96.219327
Sae-Tit Lan,16.823294,96.267697
Thone-Sae-Hnit Gate,16.821399,96.26605
Sauk Lote Yae,16.828696,96.24063
Sittaung Lan Htate,16.831941,96.234262
Shwe Taung Kyar Lan,16.834036,96.234201
Ayeyarwaddy Lan Htate,16.837404,96.233312
Set Hmu Zone Zay,16.838801,96.232545
Kyar Kan,16.84375,96.231433
Thitsar,16.845599,96.232957
Kone Taik,16.848073,96.234933
Hnit-sae Zay,16.849573,96.236241
Kar Lay Gate,16.851626,96.238001
Phone Gyi Kyaung Kwae,16.854162,96.24019
Tadar Htate,16.856103,96.237529
Kun Yar Saing,16.860241,96.232442
Myo Oo Kyaung,16.861822,96.230308
Taung Myauk Lan Sone,16.863198,96.21628
Myo Oo Zedi,16.862623,96.212615
Tadar Htate,16.866278,96.209139
Ka Pa Ya,16.869967,96.207591
Arr Kasar Kwin,16.872727,96.206464
Ma Wa Ta,16.877393,96.204419
Swan In,16.880857,96.202573
Kone Padaythar,16.884656,96.200534
Yone Shae,16.887581,96.198817
Khun/ Shit Lan Sone,16.892417,96.196178
Lay-sae-nga Hmat Taing,16.894696,96.194934
Lay-sae-chauk Lan Sone,16.898695,96.192646
Kyar Hmat Taing,16.897899,96.190642
Ba Htoo Zay,16.895887,96.186908
Banyardala,16.894943,96.18502
Kyaung Lay Shae,16.893916,96.18296
Lay-sae-lay Lan Sone,16.892889,96.181029
Kyan Mar Yae,16.891657,96.178583
Kyaung Kwae,16.889707,96.174892
Phyo Sabei,16.887715,96.170794
Khay Mar,16.886011,96.167554
Gandar Yon,16.886627,96.164271
Gate Haung,16.893798,96.157713
Yone Thit,16.895877,96.155904
May Dar Wi,16.899234,96.155035
Oakkar,16.902611,96.15467
Yone,16.906199,96.154768
Mya Yadanar,16.908739,96.155967
Nwe Thar Gi,16.909601,96.156623
Yoke Shin Yon,16.911152,96.1601
Za-myin-zwe Zay,16.911644,96.161912
Kan Tharyar,16.913081,96.165506
Ayar,16.917321,96.163725
Chauk Kwae,16.919091,96.162873
Dhamar Yon,16.924198,96.158284
Aung Mingalar A Way Pyay,16.926517,96.156374
Aung Mingalar A Way Pyay,16.926456,96.155924
Dhamar Yon,16.924116,96.157726
Chauk Kwae,16.918552,96.162986
Kan Tharyar,16.913133,96.165152
Za-myin-zwe Zay,16.911921,96.162084
Yoke Shin Yon,16.911275,96.160062
Nwe Thar Gi,16.909951,96.156719
Mya Yadanar,16.908226,96.155108
Yone,16.906204,96.154612
Oakkar,16.903042,96.154445
May Dar Wi,16.899973,96.154552
Yone Thit,16.895928,96.155689
Gate Haung,16.893741,96.157579
Gandar Yon,16.886442,96.163949
Khay Mar,16.885703,96.167983
Phyo Sabei,16.887325,96.170987
Kyaung Kwae,16.889337,96.175064
Kyan Mar Yae,16.891267,96.178755
Lay-sae-lay Lan Sone,16.892458,96.181029
Kyaung Lay Shae,16.893546,96.183068
Banyardala,16.894655,96.185235
Ba Htoo Zay,16.895476,96.187123
Kyar Hmat Taing,16.897447,96.190685
Lay-sae-chauk Lan Sone,16.8985,96.192522
Lay-sae-nga Hmat Taing,16.895189,96.194161
Khun/ Shit Lan Sone,16.892201,96.195899
Yone Shae,16.887499,96.198531
Kone Padaythar,16.88443,96.200105
Swan In,16.880652,96.202251
Ma Wa Ta,16.876906,96.204372
Arr Kasar Kwin,16.872665,96.20622
Ka Pa Ya,16.869954,96.207272
Tadar Htate,16.866127,96.2089
Myo Oo Zedi,16.862089,96.212765
Taung Myauk Lan Sone,16.862952,96.216452
Myo Oo Kyaung,16.861699,96.23019
Kun Yar Saing,16.860179,96.232034
Tadar Htate,16.85598,96.237389
Phone Gyi Kyaung Kwae,16.853854,96.240061
Kar Lay Gate,16.85176,96.237883
Hnit-sae Zay,16.849706,96.236123
Kone Taik,16.848166,96.234815
Thitsar,16.845968,96.232785
Kyar Kan,16.844059,96.231197
Set Hmu Zone Zay,16.838349,96.232417
Ayeyarwaddy Lan Htate,16.837302,96.233107
Shwe Taung Kyar Lan,16.834385,96.233901
Sittaung Lan Htate,16.83153,96.234133
Sauk Lote Yae,16.828635,96.240297
Thone-Sae-Hnit Gate,16.820727,96.265875
Sae-Tit Lan,16.823561,96.268083
Sae-Tit Lan,16.823561,96.268083
Padauk Kwae,16.827094,96.269383
Moke Oo (Yuzana Garden),16.832393,96.269968
Ma Wa Ta Yone Shae/Oh Eain,16.832352,96.264843
Mya Nandar,16.835186,96.255509
Yadanar Lan,16.836686,96.250015
Thein Kyaung,16.838555,96.244072
Ayar Wun,16.849111,96.246046
Awaiyar,16.850651,96.244437
Phone Gyi Kyaung Kwae,16.853957,96.240168
Tadar Htate,16.856103,96.237529
Sae-shit Kwae,16.858064,96.23446
Kyan Mar Yae,16.856442,96.233021
Kyaung Shae,16.85445,96.23124
Gate Haung,16.852704,96.229652
Kone Padaythar,16.850158,96.227463
Thit Saing Kwae,16.847632,96.223322
Yauk Kaw,16.848392,96.222314
Pan Chan,16.851575,96.218709
Than Lan,16.854902,96.214993
Taung Myauk Lan Sone,16.858721,96.214718
Tadar Phyu,16.857859,96.212375
Kar Gyi Gate,16.847427,96.208838
Sanpya Zay/ Nga Moe Yeik,16.841871,96.204405
Myittar Shwe Yi,16.838739,96.201072
Bawa Myint,16.837507,96.199817
Kalar Su,16.835063,96.197144
B.O.C,16.832963,96.195097
Paya Lan,16.831222,96.193281
Zawana,16.828111,96.188176
Khap Chee Yar,16.826232,96.186427
Athin Taik,16.823161,96.183397
Than Lan,16.819977,96.178349
Lan Sone,16.819269,96.172287
Kyaung Shae,16.815458,96.17248
Byaing Yae Oh Sin,16.806492,96.172127
Thida,16.799424,96.175791
Aung Mingalar,16.796299,96.176668
Yuzana Plaza/ Lan Kyal,16.794501,96.175571
Mingalar Mon Zay,16.794101,96.172931
Byaing Yae Oh Sin,16.806698,96.172111
Kyaung Shae,16.815407,96.172652
Lan Sone,16.81895,96.17248
Than Lan,16.819885,96.178134
Athin Taik,16.823053,96.183446
Khap Chee Yar,16.82616,96.186578
Zawana,16.827618,96.187833
Paya Lan,16.830771,96.19326
B.O.C,16.832696,96.195011
Kalar Su,16.834899,96.197444
Bawa Myint,16.837107,96.199742
Myittar Shwe Yi,16.838596,96.201276
Sanpya Zay/ Nga Moe Yeik,16.841989,96.204673
Kar Gyi Gate,16.847468,96.209482
Tadar Phyu,16.857366,96.212289
Taung Myauk Lan Sone,16.85866,96.21446
Than Lan,16.854532,96.214736
Pan Chan,16.851513,96.218237
Yauk Kaw,16.848248,96.222056
Thit Saing Kwae,16.847149,96.223431
Kone Padaythar,16.849799,96.22753
Gate Haung,16.852273,96.229738
Kyaung Shae,16.854245,96.231455
Kyan Mar Yae,16.856072,96.233021
Sae-shit Kwae,16.858033,96.234611
Tadar Htate,16.85598,96.237389
Phone Gyi Kyaung Kwae,16.853854,96.240061
Awaiyar,16.85024,96.244437
Ayar Wun,16.849152,96.245892
Thein Kyaung,16.838431,96.243685
Yadanar Lan,16.836583,96.249372
Mya Nandar,16.835104,96.254607
Ma Wa Ta Yone Shae/Oh Eain,16.832249,96.265079
Moke Oo (Yuzana Garden),16.832147,96.270186
Padauk Kwae,16.827217,96.269082
Sae-Tit Lan,16.823294,96.267697
Thone-Sae-Hnit Gate,16.820727,96.265875
Sae-Tit Lan,16.823561,96.268083
Padauk Kwae,16.827217,96.269082
Moke Oo (Yuzana Garden),16.832393,96.269968
Ma Wa Ta Yone Shae/Oh Eain,16.832352,96.264843
Mya Nandar,16.835186,96.255509
Yadanar Lan,16.836583,96.249372
Thein Kyaung,16.838555,96.244072
Chauk-sae-ngar Yat Kwet,16.83494,96.242613
Sauk Lote Yae,16.828347,96.240619
Alo Taw Pyae,16.820604,96.23791
Thit Sait,16.815797,96.236365
Asean,16.807191,96.232549
Sauk Lote Yae,16.799426,96.224116
Sae-Thone Gate,16.793798,96.21946
Gate Wa,16.79125,96.217443
Khan Ma,16.790942,96.214632
Lay-sae-koe Asane Gate,16.791127,96.211778
Kyel Ngar Pwint,16.791476,96.210018
Waizayantar,16.791846,96.20768
Ngar Kwae,16.791045,96.206371
Nal Myay Yon,16.789443,96.205727
Si Saing,16.784553,96.203924
Mee Thwe Saing,16.782047,96.203603
Kyaung Shae,16.778801,96.202358
