Name,Sule,Sule Myodaw Hall,Yoke Shin Yone,Youk Lan,Youk Lann,Youk Lan 2,Kyauk Taing,U Htaung Bo,Bahan 3 Lan,Taung Phat Mote,A Shae Phat Mote,Pan Soe Tan,Bar Lan,Pan Soe Tan2,Railway,Kan Yeik Thar,Thein Gyi Zay,Kone Zay Tan,Bo Gyoke Zay,Phyar Lan,Construction,Phone Gyi Lan,San Pya,Tha Yet Taw,Pegu Club,Myaeni Gone,Hantharwady,Hledan,Wizaya Plaza,Yae Khae Saing,Shwe Gon Daing 2,Shwe Gon Daing,Har Mit Tic,Har Mit Tic 2,Kokkaing,Myanmar Plaza,Inya Myaing,Thanlwin,UFL,U Wisara Awine,Lanmadaw
Sule,0.0,0.27798731661137954,0.5449591417962711,0.9901500833241538,1.3109528574264457,1.1955350331281431,1.5980859795556717,2.3558540203124907,2.759688259785579,2.507082350671094,2.8193476933689734,0.30894449596674145,0.42342185529804716,0.6465519551900966,1.0816385838017315,2.160041250471249,0.6077581519638391,0.6770438432575816,0.8229156106203437,1.031300414322972,1.4520048186107366,1.4931392971657669,1.5163189908692203,1.613563892277424,2.3719015965131525,3.606996620265261,5.049519800596152,6.480501043357746,3.7503908063227476,2.924736575485066,3.1972520252697767,3.5544748432823843,4.5791407031718485,3.9253945995507666,5.472457566492869,6.109861327640984,5.787967929804688,5.7236235169652545,6.006969929681401,2.617598753185317,1.2971358228660084
Sule Myodaw Hall,0.27798731661137954,0.0,0.267080092859514,0.7123638474287382,1.0386257948176518,0.9192878257950827,1.3217817987022993,2.0791559900981214,2.48193098978171,2.2490650729851693,2.552948218148726,0.4080934208792617,0.3193865644959842,0.4315056817827675,0.8236862337969033,1.8873953857195447,0.6542901560316218,0.6072415186671684,0.6580200877655432,0.8153693299638738,1.2005245601906684,1.5024165341515163,1.4772785441258753,1.519838030230637,2.200870709686555,3.389168207171003,4.812878380208035,6.234717143401524,3.505427610483507,2.6467818138741066,2.9208901816590327,3.278054464688497,4.301736786870094,3.6482707793957805,5.1957491239265945,5.832654485777456,5.514759430707805,5.455126204122257,5.744184237083022,2.3781410717774283,1.19414592280205
Yoke Shin Yone,0.5449591417962711,0.267080092859514,0.0,0.44528904577762735,0.7842118520536867,0.6536581761376128,1.059020283110561,1.8151771956617262,2.215875374818898,2.011104806528476,2.3033566060607966,0.6113377546304166,0.4080904712688541,0.3195759542557279,0.5870883648069418,1.62481270415629,0.801817210152556,0.6641689969728484,0.5971127893280336,0.6631605887363943,0.9789630215752994,1.5688172566979608,1.499029987487386,1.4848478471424407,2.0680557127193193,3.1961243820753813,4.596073432736254,6.006684192435877,3.280810662139531,2.3801666643267,2.6572457572906907,3.014259502035275,4.036276695653021,3.383319956049394,4.93135894663562,5.5674741795000475,5.255075366946292,5.2012820319399315,5.497039977410565,2.163244675438683,1.161752782672218
Youk Lan,0.9901500833241538,0.7123638474287382,0.44528904577762735,0.0,0.40120915777571337,0.21751712345340532,0.6302877215107205,1.378497069308018,1.7734073259551826,1.6366035236908896,1.8994682212734137,1.0169119240320597,0.7675061724688859,0.5262291590582805,0.32111296022553315,1.1905420833188711,1.149994167767961,0.9398409870883424,0.7419781485008773,0.6213132915439693,0.6890454775001886,1.7688683425614928,1.6378962323740218,1.535323507555111,1.9136098505703347,2.9032937368817726,4.249663948863713,5.63614815687002,2.924485755915258,1.9362261974356771,2.2202402208971117,2.5766460186939275,3.594690050872117,2.9429865754319535,4.491843410421605,5.126275655591201,4.824852876058077,4.782510351536969,5.090967220380363,1.8382913366577114,1.2441386374136834
Youk Lann,1.3109528574264457,1.0386257948176518,0.7842118520536867,0.40120915777571337,0.0,0.3652851836222393,0.30933635131514053,1.0565663413904738,1.4733214921640674,1.2399851324885542,1.5195649145513899,1.3892344316607212,1.1534082869364801,0.9257146376762828,0.643466705133683,1.0440223072548689,1.3105868304237294,1.05745650256833,0.7936396876121632,0.5514658912061253,0.33151759231712813,1.737896866421447,1.5574987027706335,1.3830304774407582,1.5856701086449752,2.506406865048845,3.849290444349948,5.240710246618152,2.5249791531781023,1.6457583533423856,1.8927400992641024,2.2497670314064186,3.2806821096542933,2.624977421607716,4.167889320742261,4.808336013329912,4.477017200919579,4.417584522378814,4.713578980712941,1.4379816441420492,1.1460839635242097
Youk Lan 2,1.1955350331281431,0.9192878257950827,0.6536581761376128,0.21751712345340532,0.3652851836222393,0.0,0.48667503518354843,1.2025931263733804,1.5837059693539388,1.5292718430592254,1.7610641144441361,1.1941422624276157,0.9339652064376122,0.6686185195418163,0.2875289823108044,0.9741842782915296,1.364331594104814,1.1469028183399548,0.9315093946473786,0.7681893520264856,0.6953488286273081,1.9483449802502375,1.8008771355561592,1.6701131398455222,1.948977097089483,2.8451734300519766,4.148867726456612,5.51498798534988,2.821003592209746,1.7419748983936725,2.0399873180299024,2.3946163375718785,3.40444236130396,2.7557275130407213,4.3048246150303004,4.936042262505157,4.650459628282498,4.620733086575456,4.941067880907516,1.768343971926542,1.39723135808543
Kyauk Taing,1.5980859795556717,1.3217817987022993,1.059020283110561,0.6302877215107205,0.30933635131514053,0.48667503518354843,0.0,0.7579966157513934,1.1687593451716052,1.0467737103001136,1.2765054591727394,1.6469848273520196,1.3968213947251518,1.1442040419945567,0.7633545913597727,0.7689633461731556,1.6196697928295862,1.365160943310195,1.0978260217678704,0.8431886729800107,0.47442735680156684,2.006058332186192,1.808681308891533,1.6019956613384891,1.6400208353634402,2.3899121836519965,3.6652167344184186,5.028345019290958,2.3373439768699393,1.3394673177245295,1.59918349735585,1.956394147677977,2.9827604926670968,2.328090484623288,3.874420679661902,4.512555893176429,4.197134087209294,4.152234000383874,4.463196448094705,1.3101348754020414,1.3998557187364504
U Htaung Bo,2.3558540203124907,2.0791559900981214,1.8151771956617262,1.378497069308018,1.0565663413904738,1.2025931263733804,0.7579966157513934,0.0,0.42496962758582585,0.6706461093274013,0.6641225117720619,2.3926496487401168,2.135622737349293,1.8707546538658677,1.4384871884379153,0.6462484727853252,2.34615591729259,2.083557338438686,1.8068342472397365,1.5333436406830243,1.066220889731747,2.593682414543729,2.362700658914635,2.096944633028603,1.776759338221805,2.0301061961157,3.097805167051265,4.3878940465259015,1.7978270267665784,0.6027769549611667,0.8421423188822743,1.19908276294849,2.2251464600205515,1.5701594627292574,3.116622133297771,3.754578830932479,3.448408068704888,3.421835793849326,3.755358324682542,1.055339357663875,1.9812370177519008
Bahan 3 Lan,2.759688259785579,2.48193098978171,2.215875374818898,1.7734073259551826,1.4733214921640674,1.5837059693539388,1.1687593451716052,0.42496962758582585,0.0,0.8792819570203397,0.6614857951025466,2.777718131343076,2.5159440461831712,2.2445061263089516,1.7940223572361385,0.8074884753907678,2.7698418793470325,2.507826998058421,2.2314482478087605,1.9582764582786087,1.4902070737906048,3.0061795043151585,2.7703798984008206,2.4953526913223696,2.0818006677277054,2.0687370631902438,2.940145753655862,4.148738237385604,1.7082048308298992,0.17860297343207296,0.4780290104704883,0.8192182336367247,1.8214882114838098,1.1721928678853029,2.7211471879303892,3.353192078876944,3.0813670214866393,3.0864951653539623,3.4484473116557934,1.2507741836796231,2.39621040173235
Taung Phat Mote,2.507082350671094,2.2490650729851693,2.011104806528476,1.6366035236908896,1.2399851324885542,1.5292718430592254,1.0467737103001136,0.6706461093274013,0.8792819570203397,0.0,0.38517373930953086,2.621889006789921,2.392630198887668,2.162818058704113,1.8099272629490952,1.2966415309095365,2.329357932978666,2.064624170726409,1.792950582097152,1.5216584606480181,1.0574801748086844,2.337396956558787,2.08293003562116,1.778203111304368,1.2161869883628087,1.3942548812959563,2.6196110057472963,4.000728475724957,1.2918135850933203,1.0205588450143344,1.0009481050415825,1.2990979557354358,2.302402670490036,1.6735936410068735,3.124628009159363,3.7725961720558745,3.3507734866524883,3.240775682094715,3.50260570077213,0.38723881352623113,1.765930324687202
