Name,Latitude,Longitude
Sule,16.7741,96.1588
Sule Myodaw Hall,16.7766,96.1588
Yoke Shin Yone,16.779,96.1589
Youk Lan,16.783,96.1591
Youk Lann,16.7857,96.1566
Youk Lan 2,16.7848,96.1599
Kyauk Taing,16.7884,96.1573
U Htaung Bo,16.7952,96.1568
Bahan 3 Lan,16.7989,96.1578
Taung Phat Mote,16.7952,96.1505
A Shae Phat Mote,16.7985,96.1516
Pan Soe Tan,16.7742,96.1617
Bar Lan,16.7766,96.1618
Pan Soe Tan2,16.7791,96.1619
Railway,16.7833,96.1621
Kan Yeik Thar,16.7932,96.1625
Thein Gyi Zay,16.7744,96.1531
Kone Zay Tan,16.7768,96.1531
Bo Gyoke Zay,16.7793,96.1533
Phyar Lan,16.7818,96.1534
Construction,16.78614,96.15352
Phone Gyi Lan,16.7749,96.1448
San Pya,16.77724,96.14494
Tha Yet Taw,16.7801,96.145
Pegu Club,16.788,96.1419
Myaeni Gone,16.8,96.1384
Hantharwady,16.8131,96.1345
Hledan,16.8259,96.1309
Wizaya Plaza,16.8041,96.1427
Yae Khae Saing,16.8004,96.1584
Shwe Gon Daing 2,16.8027,96.1557
Shwe Gon Daing,16.8059,96.1554
Har Mit Tic,16.8152,96.1561
Har Mit Tic 2,16.8093,96.156
Kokkaing,16.8231,96.154
Myanmar Plaza,16.8289,96.1546
Inya Myaing,16.8253,96.149
Thanlwin,16.8239,96.1452
UFL,16.8253,96.1408
U Wisara Awine,16.7947,96.1469
